gene_name,l2fc_protein_starvedtorich,condition,cellline,RNA_pvalue,l2fc_RNA_starvedtorich,l2fc_protein_per_RNA,,,,,
SAP30,-1.795962,Arg,GCN2KO,0.18589181,-0.986791383,-0.809170617,,,,,
SAR1A,0.080182075,Arg,GCN2KO,0.002655797,-0.545019413,0.625201488,,,,,
SAR1B,-0.731637255,Arg,GCN2KO,0.690502926,-0.138190394,-0.593446861,,,,,
SARNP,-0.596499068,Arg,GCN2KO,0.096372466,0.293463314,-0.889962382,,,,,
SART3,0.28345356,Arg,GCN2KO,0.545465842,0.200438728,0.083014832,,,,,
UTP3,-1.109969662,Arg,GCN2KO,0.496431947,-0.256917334,-0.853052329,,,,,
SBDS,-1.551155665,Arg,GCN2KO,1.11E-05,1.309212664,-2.860368329,,,,,
SEC11A,-0.85502424,Arg,GCN2KO,0.004180067,0.475921035,-1.330945275,,,,,
SEC16A,-5.701215399,Arg,GCN2KO,NA,NA,NA,,,,,
SEC22B,-0.64341083,Arg,GCN2KO,NA,NA,NA,,,,,
SEC23A,-1.019273523,Arg,GCN2KO,0.455009987,0.870245669,-1.889519191,,,,,
SEC23B,-3.36708268,Arg,GCN2KO,0.527259708,-0.116071207,-3.251011473,,,,,
SEC24A,-0.895656455,Arg,GCN2KO,NA,NA,NA,,,,,
SEC24B,-1.083299353,Arg,GCN2KO,NA,NA,NA,,,,,
SEC24C,-0.869140755,Arg,GCN2KO,NA,NA,NA,,,,,
SEC31A,-0.798738117,Arg,GCN2KO,0.669937295,0.113619887,-0.912358005,,,,,
SEC61B,-1.09129207,Arg,GCN2KO,9.74E-04,-0.751632288,-0.339659782,,,,,
SEC61G,-0.554784098,Arg,GCN2KO,4.65E-19,1.391274752,-1.94605885,,,,,
SCAF8,-1.378550997,Arg,GCN2KO,NA,NA,NA,,,,,
SCAF11,-1.970273158,Arg,GCN2KO,0.016503776,0.483009331,-2.453282489,,,,,
SCAMP1,-0.801231738,Arg,GCN2KO,0.202751398,-0.833736615,0.032504877,,,,,
SCAMP3,-0.987493417,Arg,GCN2KO,0.486643874,-0.287823475,-0.699669943,,,,,
SCFD1,-1.297462135,Arg,GCN2KO,4.73E-04,0.671054171,-1.968516306,,,,,
SCFD2,-2.328671247,Arg,GCN2KO,0.791632875,0.177053408,-2.505724655,,,,,
SCLY,0.183017405,Arg,GCN2KO,NA,NA,NA,,,,,
SLC25A24,-0.365752323,Arg,GCN2KO,NA,NA,NA,,,,,
SCML2,-0.903520903,Arg,GCN2KO,0.033957202,0.922400854,-1.825921756,,,,,
SCO1,-0.596455805,Arg,GCN2KO,NA,NA,NA,,,,,
OXCT1,-0.523879538,Arg,GCN2KO,1.56E-07,1.26755893,-1.791438467,,,,,
SCARB1,-1.91390333,Arg,GCN2KO,NA,NA,NA,,,,,
SCARB2,-1.09599349,Arg,GCN2KO,0.831696241,0.148916865,-1.244910355,,,,,
SCRIB,-2.013219628,Arg,GCN2KO,NA,NA,NA,,,,,
SCRN1,-0.080491075,Arg,GCN2KO,0.137166086,1.127832215,-1.20832329,,,,,
SCRN3,-1.145255258,Arg,GCN2KO,0.683549993,0.17415599,-1.319411248,,,,,
SCYL1,-2.337261063,Arg,GCN2KO,NA,NA,NA,,,,,
SCYL2,-1.351535955,Arg,GCN2KO,0.038256778,1.057129249,-2.408665204,,,,,
SDAD1,-1.465030405,Arg,GCN2KO,0.969946559,0.005611408,-1.470641813,,,,,
SDCBP,-1.27670556,Arg,GCN2KO,NA,NA,NA,,,,,
SDE2,-1.46363524,Arg,GCN2KO,0.244410492,0.468699619,-1.932334859,,,,,
SDF2,-1.040397064,Arg,GCN2KO,0.12343194,0.492909615,-1.53330668,,,,,
SDF2L1,0.227240175,Arg,GCN2KO,0.190067059,-0.342243401,0.569483576,,,,,
SDHA,-0.698740562,Arg,GCN2KO,0.324684135,0.231799039,-0.930539601,,,,,
SDHB,-1.048661022,Arg,GCN2KO,0.006794026,-0.374807066,-0.673853957,,,,,
SUDS3,-2.52949971,Arg,GCN2KO,0.932092677,-0.034129687,-2.495370024,,,,,
SEC13,-0.424106297,Arg,GCN2KO,0.738633967,-0.057481107,-0.366625191,,,,,
SEC62,-2.87118997,Arg,GCN2KO,3.58E-05,-0.720181213,-2.151008757,,,,,
SEC63,-1.57990004,Arg,GCN2KO,0.358020972,0.349799869,-1.929699909,,,,,
SEH1L,-1.113398125,Arg,GCN2KO,NA,NA,NA,,,,,
EEFSEC,-0.401805077,Arg,GCN2KO,NA,NA,NA,,,,,
SELENOH,-0.10723645,Arg,GCN2KO,NA,NA,NA,,,,,
SELENOT,-0.128266095,Arg,GCN2KO,NA,NA,NA,,,,,
SENP3,-1.041073915,Arg,GCN2KO,NA,NA,NA,,,,,
SEPTIN10,-2.29274829,Arg,GCN2KO,NA,NA,NA,,,,,
SEPTIN11,-1.025940978,Arg,GCN2KO,NA,NA,NA,,,,,
SELENOF,-0.971314852,Arg,GCN2KO,NA,NA,NA,,,,,
SEPTIN2,-1.0674084,Arg,GCN2KO,NA,NA,NA,,,,,
SEPTIN3,-1.015260555,Arg,GCN2KO,NA,NA,NA,,,,,
SEPTIN6,-3.337118995,Arg,GCN2KO,NA,NA,NA,,,,,
SEPTIN7,-1.184668945,Arg,GCN2KO,NA,NA,NA,,,,,
SEPTIN8,-2.388215654,Arg,GCN2KO,NA,NA,NA,,,,,
SEPTIN9,-0.852925155,Arg,GCN2KO,NA,NA,NA,,,,,
PHGDH,-0.49350087,Arg,GCN2KO,3.46E-12,1.10986541,-1.60336628,,,,,
PSPH,-0.357308158,Arg,GCN2KO,NA,NA,NA,,,,,
PSAT1,-1.614126842,Arg,GCN2KO,NA,NA,NA,,,,,
SERPINH1,-0.089710198,Arg,GCN2KO,NA,NA,NA,,,,,
SESTD1,-2.454581958,Arg,GCN2KO,NA,NA,NA,,,,,
SET,-0.593939495,Arg,GCN2KO,0.06710024,-0.679591004,0.085651509,,,,,
SETD1A,-0.982467543,Arg,GCN2KO,0.922173337,0.065287169,-1.047754712,,,,,
SETD3,-1.373693003,Arg,GCN2KO,0.540618407,-0.387035542,-0.986657461,,,,,
SETD7,-0.2759337,Arg,GCN2KO,NA,NA,NA,,,,,
SETSIP,NA,Arg,GCN2KO,0.069887009,-0.669325986,NA,,,,,
SF1,-1.11600726,Arg,GCN2KO,NA,NA,NA,,,,,
SF3A1,-0.634367857,Arg,GCN2KO,0.00346458,2.799011544,-3.433379401,,,,,
SF3A2,-0.36992149,Arg,GCN2KO,NA,NA,NA,,,,,
SF3A3,-0.68890633,Arg,GCN2KO,4.89E-05,0.647542846,-1.336449176,,,,,
SF3B1,-1.428533385,Arg,GCN2KO,0.059807054,0.3704682,-1.799001585,,,,,
SF3B2,-0.749532095,Arg,GCN2KO,0.087772862,0.527475223,-1.277007318,,,,,
SF3B3,-1.158487288,Arg,GCN2KO,0.040812869,0.73322809,-1.891715378,,,,,
SF3B4,-0.526352332,Arg,GCN2KO,NA,NA,NA,,,,,
SF3B5,-2.750037564,Arg,GCN2KO,0.646126765,0.094361622,-2.844399187,,,,,
SF3B6,-1.064666555,Arg,GCN2KO,1.04E-16,1.201427666,-2.266094221,,,,,
SFPQ,-1.49120052,Arg,GCN2KO,1.66E-04,1.215268525,-2.706469045,,,,,
SCAF4,-0.513646963,Arg,GCN2KO,NA,NA,NA,,,,,
SFSWAP,-3.006096574,Arg,GCN2KO,0.994984776,0.001625937,-3.007722511,,,,,
SFT2D3,-3.553084425,Arg,GCN2KO,NA,NA,NA,,,,,
SFXN1,-0.739979377,Arg,GCN2KO,0.059532061,-0.755483733,0.015504356,,,,,
SFXN4,-0.369437143,Arg,GCN2KO,0.001429078,-0.864170066,0.494732923,,,,,
TMEM97,-0.522884333,Arg,GCN2KO,1.93E-05,0.80565921,-1.328543543,,,,,
SUGT1,-1.69082587,Arg,GCN2KO,0.023236786,0.414046432,-2.104872302,,,,,
SGTA,-0.299402545,Arg,GCN2KO,NA,NA,NA,,,,,
SGTB,-3.1207956,Arg,GCN2KO,0.629140959,-0.367387423,-2.753408177,,,,,
SH2D4A,-4.125864684,Arg,GCN2KO,0.004602542,1.292678645,-5.418543329,,,,,
SH3GL1,-0.131421115,Arg,GCN2KO,NA,NA,NA,,,,,
SH3BGRL,-1.109905873,Arg,GCN2KO,0.176985761,-0.786814547,-0.323091325,,,,,
SH3BGRL2,-0.408038082,Arg,GCN2KO,NA,NA,NA,,,,,
SH3BGRL3,-0.666672988,Arg,GCN2KO,0.022154618,-1.536628406,0.869955419,,,,,
SINHCAF,-3.082607212,Arg,GCN2KO,NA,NA,NA,,,,,
SH3GLB1,-1.806177953,Arg,GCN2KO,0.585579807,-0.147125134,-1.659052818,,,,,
SHOC2,-0.71319707,Arg,GCN2KO,0.797578562,-0.13915324,-0.57404383,,,,,
SHTN1,-0.528544463,Arg,GCN2KO,4.40E-05,1.796542191,-2.325086654,,,,,
NANS,0.463774038,Arg,GCN2KO,2.69E-11,1.15720956,-0.693435522,,,,,
SIL1,-5.59796847,Arg,GCN2KO,NA,NA,NA,,,,,
SIN3A,-1.70580223,Arg,GCN2KO,0.768389546,-0.284318984,-1.421483246,,,,,
SIN3B,-1.601956235,Arg,GCN2KO,NA,NA,NA,,,,,
SIRT1,-2.499487808,Arg,GCN2KO,NA,NA,NA,,,,,
SKA1,-2.794004653,Arg,GCN2KO,NA,NA,NA,,,,,
SKA3,-2.027287437,Arg,GCN2KO,0.229512441,0.511516797,-2.538804234,,,,,
SKP1,-1.074609558,Arg,GCN2KO,0.478825429,-0.13819196,-0.936417597,,,,,
SKP2,-4.010011734,Arg,GCN2KO,0.003038879,-1.116097436,-2.893914298,,,,,
GINS4,-1.234349947,Arg,GCN2KO,1.07E-04,-1.318989722,0.084639775,,,,,
SLIRP,-1.514763947,Arg,GCN2KO,5.26E-09,-0.927137408,-0.587626539,,,,,
SLK,-2.634118857,Arg,GCN2KO,0.677901876,0.18949526,-2.823614118,,,,,
SLMAP,-3.219656145,Arg,GCN2KO,0.869995397,-0.094954657,-3.124701487,,,,,
SLTM,-1.140300145,Arg,GCN2KO,0.27821401,-0.14858796,-0.991712185,,,,,
SLU7,-3.964955994,Arg,GCN2KO,1.72E-30,1.569545115,-5.53450111,,,,,
SMAD1,-1.007960796,Arg,GCN2KO,0.714826105,0.133606856,-1.141567652,,,,,
SMAD2,-2.127110978,Arg,GCN2KO,NA,NA,NA,,,,,
SMAD3,-3.31347585,Arg,GCN2KO,NA,NA,NA,,,,,
SMAD5,-3.768643797,Arg,GCN2KO,0.014654579,1.119549906,-4.888193703,,,,,
SAMD4B,-1.099367923,Arg,GCN2KO,NA,NA,NA,,,,,
C11orf58,-0.826429425,Arg,GCN2KO,4.46E-06,0.988405004,-1.814834429,,,,,
SMAP2,-0.366875178,Arg,GCN2KO,0.711301295,-0.200032906,-0.166842271,,,,,
IGHMBP2,0.894050507,Arg,GCN2KO,NA,NA,NA,,,,,
SMC1A,-1.750097898,Arg,GCN2KO,0.094313083,-0.41883244,-1.331265458,,,,,
SMC2,-1.058756777,Arg,GCN2KO,9.87E-15,0.883358296,-1.942115073,,,,,
SMC3,-1.54032592,Arg,GCN2KO,0.004056241,0.352021362,-1.892347282,,,,,
SMC4,-1.340656215,Arg,GCN2KO,0.636522785,0.061870089,-1.402526304,,,,,
SMC5,-1.148572985,Arg,GCN2KO,5.87E-09,1.081430392,-2.230003377,,,,,
SMC6,-3.825736242,Arg,GCN2KO,0.015508563,0.466763589,-4.292499832,,,,,
SMARCA1,-4.442688528,Arg,GCN2KO,0.00383272,0.946201331,-5.388889858,,,,,
SMARCA4,-1.320627612,Arg,GCN2KO,0.698178608,-0.064152979,-1.256474634,,,,,
SMARCA5,-1.35912033,Arg,GCN2KO,0.783758156,-0.063421685,-1.295698645,,,,,
SMARCE1,-1.658381672,Arg,GCN2KO,0.086781951,-0.306312912,-1.35206876,,,,,
SNRPD1,-0.82293597,Arg,GCN2KO,4.20E-20,1.0116574,-1.83459337,,,,,
SNRPD2,-0.830022547,Arg,GCN2KO,5.19E-10,-0.851392282,0.021369735,,,,,
SNRPD3,-0.8328108,Arg,GCN2KO,4.77E-08,-0.845437327,0.012626527,,,,,
SAYSD1,0.148415417,Arg,GCN2KO,0.909036632,-0.086338343,0.23475376,,,,,
SMG7,-1.19293688,Arg,GCN2KO,0.792072195,-0.170629361,-1.022307519,,,,,
SMG8,-1.507085878,Arg,GCN2KO,0.249051493,0.427718293,-1.934804171,,,,,
SMCHD1,-1.38375974,Arg,GCN2KO,0.558534585,0.241227862,-1.624987602,,,,,
SMN1,-0.83710232,Arg,GCN2KO,0.001718165,1.530846493,-2.367948813,,,,,
SMARCC1,-1.646717758,Arg,GCN2KO,0.348249168,0.332156184,-1.978873941,,,,,
SMARCC2,-1.762804967,Arg,GCN2KO,1.02E-12,-2.737982342,0.975177375,,,,,
SMARCAD1,-1.49809316,Arg,GCN2KO,1.41E-05,1.334683314,-2.832776474,,,,,
SMARCD2,-4.440640877,Arg,GCN2KO,NA,NA,NA,,,,,
SMARCD3,NA,Arg,GCN2KO,0.009251374,1.48363621,NA,,,,,
SMU1,-1.558363988,Arg,GCN2KO,0.131154974,0.268279651,-1.826643638,,,,,
SMYD5,-0.693081325,Arg,GCN2KO,NA,NA,NA,,,,,
NAPA,-0.798036188,Arg,GCN2KO,NA,NA,NA,,,,,
NAPG,-1.14739252,Arg,GCN2KO,0.105481736,0.398526738,-1.545919258,,,,,
SND1,-1.529353885,Arg,GCN2KO,0.135023294,1.207838073,-2.737191958,,,,,
SMARCB1,-1.673705195,Arg,GCN2KO,NA,NA,NA,,,,,
SNF8,-0.95600496,Arg,GCN2KO,0.003339937,1.249790166,-2.205795126,,,,,
SNAP23,-2.026018315,Arg,GCN2KO,NA,NA,NA,,,,,
SNAP29,-1.228570272,Arg,GCN2KO,0.009894705,0.808814154,-2.037384426,,,,,
SNRNP27,-2.204520685,Arg,GCN2KO,0.743345794,0.091381988,-2.295902673,,,,,
SNRNP40,-0.9201828,Arg,GCN2KO,0.802212444,0.10831535,-1.02849815,,,,,
SNRPA,-0.365365245,Arg,GCN2KO,0.443508764,0.249384178,-0.614749423,,,,,
SART1,-0.515519055,Arg,GCN2KO,0.099359423,-0.90197728,0.386458225,,,,,
USP39,-0.312327828,Arg,GCN2KO,0.055856211,1.120464157,-1.432791985,,,,,
SNW1,-1.406113225,Arg,GCN2KO,9.15E-11,1.444336661,-2.850449886,,,,,
SNX1,-1.467013722,Arg,GCN2KO,NA,NA,NA,,,,,
SNX12,-0.423086172,Arg,GCN2KO,0.221526832,-0.744109492,0.321023319,,,,,
SNX17,-2.055707515,Arg,GCN2KO,NA,NA,NA,,,,,
SNX2,-0.63173162,Arg,GCN2KO,0.002693346,-0.530657783,-0.101073837,,,,,
SNX27,-2.110374408,Arg,GCN2KO,0.285607071,-0.87353054,-1.236843867,,,,,
SNX3,-1.44431373,Arg,GCN2KO,NA,NA,NA,,,,,
SNX4,-1.116462553,Arg,GCN2KO,0.407441337,0.520784671,-1.637247223,,,,,
SNX5,-1.140466672,Arg,GCN2KO,0.132687323,-0.344034606,-0.796432067,,,,,
SNX6,-1.417679743,Arg,GCN2KO,0.194788381,0.235024212,-1.652703954,,,,,
SNX8,-0.621330755,Arg,GCN2KO,0.01981619,-1.753566278,1.132235523,,,,,
SNX9,-0.279926638,Arg,GCN2KO,0.34941816,0.600910054,-0.880836691,,,,,
SOAT1,-1.583583845,Arg,GCN2KO,NA,NA,NA,,,,,
SOD2,-0.010820938,Arg,GCN2KO,1.56E-05,-1.063696146,1.052875209,,,,,
SON,-4.083728272,Arg,GCN2KO,NA,NA,NA,,,,,
SRI,-1.075162038,Arg,GCN2KO,6.93E-10,-1.269103739,0.193941702,,,,,
SORT1,0.05631663,Arg,GCN2KO,0.187713733,-1.017312788,1.073629418,,,,,
NABP2,-0.999451683,Arg,GCN2KO,NA,NA,NA,,,,,
SP1,0.500134035,Arg,GCN2KO,NA,NA,NA,,,,,
SUPT16H,-1.13044837,Arg,GCN2KO,0.130963964,0.352856091,-1.483304461,,,,,
SPATA5L1,-1.390722545,Arg,GCN2KO,0.669500706,-0.307554109,-1.083168436,,,,,
SPAG5,-7.926063737,Arg,GCN2KO,8.50E-15,-1.533471986,-6.392591751,,,,,
SPAG7,-10.25623597,Arg,GCN2KO,NA,NA,NA,,,,,
SPART,-2.295056457,Arg,GCN2KO,NA,NA,NA,,,,,
SPATS2,-3.780707067,Arg,GCN2KO,0.245388784,0.400610948,-4.181318015,,,,,
SPATA5,-1.29775965,Arg,GCN2KO,0.211671551,-0.614217646,-0.683542004,,,,,
FTSJ3,-0.658951353,Arg,GCN2KO,0.187635721,-0.408886489,-0.250064864,,,,,
SERPINB6,-0.06226677,Arg,GCN2KO,0.002574876,0.574370725,-0.636637495,,,,,
SERPINB9,-0.03869298,Arg,GCN2KO,NA,NA,NA,,,,,
SPC25,-3.547465927,Arg,GCN2KO,0.081605835,0.393837401,-3.941303329,,,,,
SPCS1,-1.102846995,Arg,GCN2KO,NA,NA,NA,,,,,
SPCS2,-0.800536103,Arg,GCN2KO,3.61E-05,0.66323379,-1.463769893,,,,,
SPCS3,-0.984925813,Arg,GCN2KO,5.82E-23,-1.976152853,0.99122704,,,,,
SH3PXD2B,-2.487287815,Arg,GCN2KO,NA,NA,NA,,,,,
SPDL1,-1.459265841,Arg,GCN2KO,0.008288715,0.531865389,-1.99113123,,,,,
SRM,-0.394249287,Arg,GCN2KO,NA,NA,NA,,,,,
BCAS2,-1.19657189,Arg,GCN2KO,1.59E-04,-0.82413075,-0.37244114,,,,,
SMNDC1,-0.638507482,Arg,GCN2KO,NA,NA,NA,,,,,
RBM17,-0.954208277,Arg,GCN2KO,1.50E-04,-1.087855326,0.133647048,,,,,
SPG21,-2.445515395,Arg,GCN2KO,NA,NA,NA,,,,,
SPIN1,-0.638374215,Arg,GCN2KO,NA,NA,NA,,,,,
SPR,0.027739465,Arg,GCN2KO,NA,NA,NA,,,,,
SPRYD4,-0.639975037,Arg,GCN2KO,0.297828311,0.518951933,-1.15892697,,,,,
SEPHS1,-0.47132576,Arg,GCN2KO,3.11E-05,-1.848026079,1.376700319,,,,,
SPATS2L,-5.861014706,Arg,GCN2KO,0.521593837,-0.274071428,-5.586943278,,,,,
SMS,-0.366834645,Arg,GCN2KO,0.050321062,1.261864926,-1.628699571,,,,,
SUPT4H1,0.027921702,Arg,GCN2KO,2.72E-06,0.765089939,-0.737168237,,,,,
SUPT5H,-0.032892352,Arg,GCN2KO,5.39E-04,1.274138286,-1.307030639,,,,,
SUPT6H,-1.626323027,Arg,GCN2KO,0.026360279,0.851711512,-2.47803454,,,,,
SPTBN1,-1.6763948,Arg,GCN2KO,0.354443881,0.385507671,-2.061902471,,,,,
SPTLC1,-1.930118967,Arg,GCN2KO,0.503002949,0.314004921,-2.244123888,,,,,
SPTLC2,-4.635906557,Arg,GCN2KO,NA,NA,NA,,,,,
SPTAN1,-1.369895235,Arg,GCN2KO,0.664791844,0.220371364,-1.590266599,,,,,
SPTBN2,-0.296338215,Arg,GCN2KO,NA,NA,NA,,,,,
SQSTM1,1.175714152,Arg,GCN2KO,8.81E-10,3.419771405,-2.244057252,,,,,
U2SURP,-1.575541423,Arg,GCN2KO,8.18E-45,-1.493059557,-0.082481865,,,,,
SRA1,-2.036771195,Arg,GCN2KO,0.050354176,0.478999849,-2.515771044,,,,,
SERAC1,-0.728484408,Arg,GCN2KO,NA,NA,NA,,,,,
SRBD1,-0.6942758,Arg,GCN2KO,0.976479206,0.011144478,-0.705420278,,,,,
CTTN,-0.717851413,Arg,GCN2KO,0.113519685,-0.855898632,0.138047219,,,,,
SRCAP,-0.099345277,Arg,GCN2KO,0.297492086,1.22092153,-1.320266807,,,,,
SREK1,-0.63548675,Arg,GCN2KO,1.15E-13,0.864409033,-1.499895783,,,,,
SRP9,-1.67939959,Arg,GCN2KO,0.167706856,0.695571944,-2.374971534,,,,,
SRP14,-0.965945985,Arg,GCN2KO,0.385922027,-0.162752502,-0.803193483,,,,,
SRP19,-0.536119685,Arg,GCN2KO,1.05E-07,0.790769513,-1.326889198,,,,,
SRP54,-1.209137665,Arg,GCN2KO,7.62E-07,0.966737739,-2.175875404,,,,,
SRP68,-1.225038403,Arg,GCN2KO,0.090679691,0.638279821,-1.863318223,,,,,
SRP72,-1.040874275,Arg,GCN2KO,2.07E-04,-0.476106579,-0.564767696,,,,,
SRPK1,-1.567968403,Arg,GCN2KO,3.20E-09,-1.190544835,-0.377423567,,,,,
SRPK2,-0.896756395,Arg,GCN2KO,0.679268085,-0.135928212,-0.760828183,,,,,
SRPRA,-0.987064608,Arg,GCN2KO,NA,NA,NA,,,,,
SRPRB,-0.658932443,Arg,GCN2KO,0.0466541,0.595109772,-1.254042215,,,,,
SRRM1,-0.918999043,Arg,GCN2KO,0.637092274,-0.069825249,-0.849173793,,,,,
SRRM2,-2.1564161,Arg,GCN2KO,0.910269754,-0.03309977,-2.12331633,,,,,
SRRT,-0.857970088,Arg,GCN2KO,0.017580982,0.783921225,-1.641891312,,,,,
SRSF10,-1.60151441,Arg,GCN2KO,0.068615073,0.298204769,-1.899719179,,,,,
SRSF11,-0.533655728,Arg,GCN2KO,4.65E-15,1.272873612,-1.80652934,,,,,
SRSF1,-0.736314607,Arg,GCN2KO,NA,NA,NA,,,,,
SRSF2,-0.59001796,Arg,GCN2KO,NA,NA,NA,,,,,
SRSF4,-0.693283923,Arg,GCN2KO,0.044826236,-1.453764163,0.760480241,,,,,
SRSF5,-1.40272469,Arg,GCN2KO,5.71E-11,-1.286343536,-0.116381154,,,,,
SRSF6,-0.94190796,Arg,GCN2KO,0.108513293,-1.703772539,0.761864579,,,,,
SRSF7,-0.913479017,Arg,GCN2KO,7.65E-16,-1.387438409,0.473959393,,,,,
SRSF8,-0.5070365,Arg,GCN2KO,NA,NA,NA,,,,,
SRSF9,-0.8071214,Arg,GCN2KO,0.100490101,-0.686525005,-0.120596395,,,,,
ZNRD2,-0.935801655,Arg,GCN2KO,NA,NA,NA,,,,,
SSBP1,-0.775107533,Arg,GCN2KO,4.76E-11,-0.965282468,0.190174936,,,,,
ALDH5A1,-2.34212769,Arg,GCN2KO,NA,NA,NA,,,,,
PPAN,-0.629415312,Arg,GCN2KO,0.189923285,-0.612017237,-0.017398076,,,,,
SSR1,-3.28780038,Arg,GCN2KO,7.33E-10,-1.283618758,-2.004181622,,,,,
SSR4,-0.683071157,Arg,GCN2KO,0.007560305,0.441398934,-1.124470092,,,,,
SSR3,-0.69144152,Arg,GCN2KO,8.32E-05,-0.446029757,-0.245411763,,,,,
SSRP1,-1.081457272,Arg,GCN2KO,0.618811841,0.16328423,-1.244741503,,,,,
Q8IZP2,0.07664644,Arg,GCN2KO,NA,NA,NA,,,,,
SULT1A1,-2.942915443,Arg,GCN2KO,1.13E-11,-4.628514003,1.68559856,,,,,
STAT5B,-0.689195845,Arg,GCN2KO,NA,NA,NA,,,,,
STAMBP,-0.066998942,Arg,GCN2KO,0.771525266,0.063884807,-0.130883749,,,,,
STAG2,-2.514922705,Arg,GCN2KO,1.11E-11,1.475947995,-3.9908707,,,,,
STAM,-0.993337733,Arg,GCN2KO,0.028254708,0.972178993,-1.965516725,,,,,
STAM2,-1.664268468,Arg,GCN2KO,0.513689547,0.356118457,-2.020386926,,,,,
STARD5,-1.059574567,Arg,GCN2KO,NA,NA,NA,,,,,
STARD7,NA,Arg,GCN2KO,NA,NA,NA,,,,,
STAT1,-2.139349443,Arg,GCN2KO,0.729490173,-0.299392422,-1.83995702,,,,,
STAT3,-2.712661599,Arg,GCN2KO,NA,NA,NA,,,,,
STAU1,-2.442373688,Arg,GCN2KO,0.044213127,0.692457074,-3.134830761,,,,,
STAU2,-5.220438801,Arg,GCN2KO,0.868210882,-0.058245078,-5.162193724,,,,,
STIM1,-1.123838187,Arg,GCN2KO,NA,NA,NA,,,,,
STIP1,-0.299411338,Arg,GCN2KO,0.007159516,0.59796561,-0.897376947,,,,,
STK10,-0.67529739,Arg,GCN2KO,NA,NA,NA,,,,,
STK25,-1.241785718,Arg,GCN2KO,NA,NA,NA,,,,,
STK26,-0.980725265,Arg,GCN2KO,0.64778832,-0.438388529,-0.542336736,,,,,
STK3,-4.012361016,Arg,GCN2KO,0.004633811,1.359467602,-5.371828618,,,,,
STK39,-1.21367326,Arg,GCN2KO,NA,NA,NA,,,,,
STK4,-3.983332015,Arg,GCN2KO,0.704136693,0.131822745,-4.11515476,,,,,
STOML2,-0.24103014,Arg,GCN2KO,0.202629317,-0.208580891,-0.032449249,,,,,
STMN1,-0.761875527,Arg,GCN2KO,1.41E-04,0.793737436,-1.555612963,,,,,
STOM,-2.835153243,Arg,GCN2KO,NA,NA,NA,,,,,
STRAP,-0.874747872,Arg,GCN2KO,0.14704986,1.355579455,-2.230327328,,,,,
STRBP,-2.506468097,Arg,GCN2KO,0.394473888,0.351736453,-2.858204551,,,,,
STRN,-2.746078747,Arg,GCN2KO,NA,NA,NA,,,,,
STRN3,-2.543636253,Arg,GCN2KO,NA,NA,NA,,,,,
STT3A,-0.132300567,Arg,GCN2KO,0.334643398,0.20095523,-0.333255797,,,,,
STT3B,-0.508846775,Arg,GCN2KO,0.516208123,0.363156469,-0.872003244,,,,,
STX12,-1.098276105,Arg,GCN2KO,0.438753756,0.456314537,-1.554590642,,,,,
STX17,-3.604100688,Arg,GCN2KO,0.257622913,-0.701781976,-2.902318712,,,,,
STX18,-2.10107298,Arg,GCN2KO,NA,NA,NA,,,,,
STX3,1.101097602,Arg,GCN2KO,NA,NA,NA,,,,,
STX4,-2.661312031,Arg,GCN2KO,NA,NA,NA,,,,,
STX5,-0.917182925,Arg,GCN2KO,NA,NA,NA,,,,,
STX6,NA,Arg,GCN2KO,NA,NA,NA,,,,,
STXBP1,1.214371435,Arg,GCN2KO,NA,NA,NA,,,,,
STXBP2,-1.074662365,Arg,GCN2KO,0.001575817,-6.221058595,5.14639623,,,,,
STXBP3,-2.272864345,Arg,GCN2KO,0.008689201,1.46622441,-3.739088755,,,,,
SUCLG1,-0.903207008,Arg,GCN2KO,0.046411593,0.34316244,-1.246369448,,,,,
SUCLA2,-1.058913015,Arg,GCN2KO,0.119499253,0.718319676,-1.777232691,,,,,
SUCLG2,-1.09149998,Arg,GCN2KO,NA,NA,NA,,,,,
SUFU,-2.557941553,Arg,GCN2KO,NA,NA,NA,,,,,
SUGP1,1.243623277,Arg,GCN2KO,NA,NA,NA,,,,,
SUGP2,-1.591797758,Arg,GCN2KO,0.752523309,0.210275827,-1.802073584,,,,,
RBPJ,-1.8120127,Arg,GCN2KO,2.49E-06,0.635330575,-2.447343275,,,,,
SUMF2,-1.24748366,Arg,GCN2KO,2.29E-05,-1.609451658,0.361967998,,,,,
SUMO2,-0.390680172,Arg,GCN2KO,7.59E-05,-0.628461917,0.237781745,,,,,
SURF2,-2.06543753,Arg,GCN2KO,0.002578341,-0.766185618,-1.299251912,,,,,
SURF4,-0.20168689,Arg,GCN2KO,NA,NA,NA,,,,,
SURF6,-0.25281992,Arg,GCN2KO,NA,NA,NA,,,,,
SUPV3L1,-1.844369412,Arg,GCN2KO,0.005950151,-0.881662561,-0.962706851,,,,,
SUZ12,-5.338146972,Arg,GCN2KO,0.638385649,0.227647442,-5.565794414,,,,,
SWAP70,-0.17359155,Arg,GCN2KO,NA,NA,NA,,,,,
AARS1,-1.15624011,Arg,GCN2KO,NA,NA,NA,,,,,
AARS2,-2.257908613,Arg,GCN2KO,NA,NA,NA,,,,,
SYAP1,-1.155710415,Arg,GCN2KO,4.12E-04,0.69959724,-1.855307655,,,,,
CARS1,-0.756345168,Arg,GCN2KO,NA,NA,NA,,,,,
