PG.UniProtIds,gene_name,ProteinName,PG.ProteinNames,modification,cellline,condition,mean_ks,sd_ks,se_ks,mean_l2fc,sd_l2fc,se_l2fc,,,,,,
P11586,MTHFD1,"methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1",C1TC_HUMAN,GCN2 KO,293T,−Arg,0.005895333,0.003220858,0.001859563,-3.180075542,1.043590711,0.602517378,,,,,,
P11586,MTHFD1,"methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1",C1TC_HUMAN,GCN2 KO,293T,−Leu,0.013399333,0.004664172,0.002692861,-1.852664821,0.592553235,0.34211077,,,,,,
P11586,MTHFD1,"methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1",C1TC_HUMAN,WT,293T,Rich,0.068463333,0.012836033,0.007410887,0,0,0,,,,,,
P11586,MTHFD1,"methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1",C1TC_HUMAN,WT,293T,−Arg,0.009142333,0.002951981,0.001704327,-2.934072846,0.261150879,0.15077553,,,,,,
P11586,MTHFD1,"methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1",C1TC_HUMAN,WT,293T,−Leu,0.013139667,0.0047557,0.002745705,-2.430944349,0.777742123,0.449029624,,,,,,
P11717,IGF2R,insulin like growth factor 2 receptor,MPRI_HUMAN,WT,293T,Rich,0.06444,NA,NA,0,NA,NA,,,,,,
P11717,IGF2R,insulin like growth factor 2 receptor,MPRI_HUMAN,WT,293T,−Arg,0.00834,NA,NA,-2.949837205,NA,NA,,,,,,
P11717,IGF2R,insulin like growth factor 2 receptor,MPRI_HUMAN,WT,293T,−Leu,0.03278,NA,NA,-0.97514064,NA,NA,,,,,,
P11766,ADH5,"alcohol dehydrogenase 5 (class III), chi polypeptide",ADHX_HUMAN,GCN2 KO,293T,Rich,0.044146667,0.01615461,0.009326869,0,0,0,,,,,,
P11766,ADH5,"alcohol dehydrogenase 5 (class III), chi polypeptide",ADHX_HUMAN,GCN2 KO,293T,−Arg,0.0069565,0.004954697,0.002860596,-2.719769925,1.932088583,1.115491864,,,,,,
P11766,ADH5,"alcohol dehydrogenase 5 (class III), chi polypeptide",ADHX_HUMAN,GCN2 KO,293T,−Leu,0.008778,0.002477702,0.001430502,-2.610706019,0.188551935,0.108860511,,,,,,
P11766,ADH5,"alcohol dehydrogenase 5 (class III), chi polypeptide",ADHX_HUMAN,WT,293T,Rich,0.045746667,0.01041065,0.006010592,0,0,0,,,,,,
P11766,ADH5,"alcohol dehydrogenase 5 (class III), chi polypeptide",ADHX_HUMAN,WT,293T,−Arg,0.002812,0.001104501,6.38E-04,-3.900688477,0.875496778,0.505468301,,,,,,
P11766,ADH5,"alcohol dehydrogenase 5 (class III), chi polypeptide",ADHX_HUMAN,WT,293T,−Leu,0.00617,4.86E-04,2.81E-04,-3.047881708,0.296245217,0.171037256,,,,,,
P11802,CDK4,cyclin dependent kinase 4,CDK4_HUMAN,GCN2 KO,293T,Rich,0.0646,NA,NA,0,NA,NA,,,,,,
P11802,CDK4,cyclin dependent kinase 4,CDK4_HUMAN,GCN2 KO,293T,−Leu,0.02106,NA,NA,-1.617028729,NA,NA,,,,,,
P11802,CDK4,cyclin dependent kinase 4,CDK4_HUMAN,WT,293T,Rich,0.07099,NA,NA,0,NA,NA,,,,,,
P11802,CDK4,cyclin dependent kinase 4,CDK4_HUMAN,WT,293T,−Arg,0.009569,NA,NA,-2.891175744,NA,NA,,,,,,
P11802,CDK4,cyclin dependent kinase 4,CDK4_HUMAN,WT,293T,−Leu,0.02036,NA,NA,-1.801878252,NA,NA,,,,,,
P11940,PABPC1,poly(A) binding protein cytoplasmic 1,PABP1_HUMAN,GCN2 KO,293T,Rich,0.066913333,0.017155105,0.009904505,0,0,0,,,,,,
P11940,PABPC1,poly(A) binding protein cytoplasmic 1,PABP1_HUMAN,GCN2 KO,293T,−Arg,9.79E-04,NA,NA,-5.953791984,NA,NA,,,,,,
P11940,PABPC1,poly(A) binding protein cytoplasmic 1,PABP1_HUMAN,GCN2 KO,293T,−Leu,0.020606667,8.37E-04,4.83E-04,-1.670023689,0.334810779,0.193303093,,,,,,
P11940,PABPC1,poly(A) binding protein cytoplasmic 1,PABP1_HUMAN,WT,293T,Rich,0.095496667,0.022752693,0.013136273,0,0,0,,,,,,
P11940,PABPC1,poly(A) binding protein cytoplasmic 1,PABP1_HUMAN,WT,293T,−Arg,0.008433667,0.005294243,0.003056633,-3.66612792,0.833962858,0.48148868,,,,,,
P11940,PABPC1,poly(A) binding protein cytoplasmic 1,PABP1_HUMAN,WT,293T,−Leu,0.012226667,0.002099198,0.001211973,-2.950689175,0.554250188,0.319996495,,,,,,
P12004,PCNA,proliferating cell nuclear antigen,PCNA_HUMAN,GCN2 KO,293T,Rich,0.068646667,0.016311745,0.009417591,0,0,0,,,,,,
P12004,PCNA,proliferating cell nuclear antigen,PCNA_HUMAN,GCN2 KO,293T,−Arg,0.046663333,0.009088819,0.005247432,-0.544341021,0.628874757,0.36308101,,,,,,
P12004,PCNA,proliferating cell nuclear antigen,PCNA_HUMAN,GCN2 KO,293T,−Leu,0.01958,0.008118577,0.004687263,-1.856476253,0.502853628,0.290322678,,,,,,
P12004,PCNA,proliferating cell nuclear antigen,PCNA_HUMAN,WT,293T,Rich,0.070026667,0.018950394,0.010941015,0,0,0,,,,,,
P12004,PCNA,proliferating cell nuclear antigen,PCNA_HUMAN,WT,293T,−Arg,0.054543333,0.012507383,0.007221141,-0.343800227,0.428800327,0.247567984,,,,,,
P12004,PCNA,proliferating cell nuclear antigen,PCNA_HUMAN,WT,293T,−Leu,0.016833333,0.002293694,0.001324265,-2.02475243,0.429011103,0.247689676,,,,,,
P12236,SLC25A6,solute carrier family 25 member 6,ADT3_HUMAN,GCN2 KO,293T,Rich,0.081266667,0.037803006,0.021825575,0,0,0,,,,,,
P12236,SLC25A6,solute carrier family 25 member 6,ADT3_HUMAN,GCN2 KO,293T,−Arg,0.009674,0.005322649,0.003073033,-3.13472221,0.492683181,0.284450767,,,,,,
P12236,SLC25A6,solute carrier family 25 member 6,ADT3_HUMAN,GCN2 KO,293T,−Leu,0.032006667,0.014770854,0.008527957,-1.38516524,0.688221773,0.397345026,,,,,,
P12236,SLC25A6,solute carrier family 25 member 6,ADT3_HUMAN,WT,293T,Rich,0.11905,0.002899138,0.001673818,0,0,0,,,,,,
P12236,SLC25A6,solute carrier family 25 member 6,ADT3_HUMAN,WT,293T,−Leu,0.0143465,0.011078242,0.006396026,-3.307955044,1.285205868,0.742013954,,,,,,
P12268,IMPDH2,inosine monophosphate dehydrogenase 2,IMDH2_HUMAN,GCN2 KO,293T,Rich,0.05028,0.011102166,0.006409839,0,0,0,,,,,,
P12268,IMPDH2,inosine monophosphate dehydrogenase 2,IMDH2_HUMAN,GCN2 KO,293T,−Arg,0.00606,NA,NA,-2.704097669,NA,NA,,,,,,
P12268,IMPDH2,inosine monophosphate dehydrogenase 2,IMDH2_HUMAN,GCN2 KO,293T,−Leu,0.011336667,5.66E-04,3.27E-04,-2.126439838,0.249843281,0.144247085,,,,,,
P12268,IMPDH2,inosine monophosphate dehydrogenase 2,IMDH2_HUMAN,WT,293T,Rich,0.06874,0.014732291,0.008505692,0,0,0,,,,,,
P12268,IMPDH2,inosine monophosphate dehydrogenase 2,IMDH2_HUMAN,WT,293T,−Arg,0.010162667,0.003199161,0.001847036,-2.781463581,0.427820708,0.247002401,,,,,,
P12268,IMPDH2,inosine monophosphate dehydrogenase 2,IMDH2_HUMAN,WT,293T,−Leu,0.013176667,0.002541069,0.001467087,-2.377791016,0.544245526,0.314220301,,,,,,
P12270,TPR,"translocated promoter region, nuclear basket protein",TPR_HUMAN,GCN2 KO,293T,Rich,0.0528,0.01089448,0.006289931,0,0,0,,,,,,
P12270,TPR,"translocated promoter region, nuclear basket protein",TPR_HUMAN,GCN2 KO,293T,−Arg,0.001497,NA,NA,-4.91585743,NA,NA,,,,,,
P12270,TPR,"translocated promoter region, nuclear basket protein",TPR_HUMAN,GCN2 KO,293T,−Leu,0.015220667,0.008226129,0.004749358,-1.912130025,0.489902691,0.282845451,,,,,,
P12270,TPR,"translocated promoter region, nuclear basket protein",TPR_HUMAN,WT,293T,Rich,0.091466667,0.038923686,0.022472601,0,0,0,,,,,,
P12270,TPR,"translocated promoter region, nuclear basket protein",TPR_HUMAN,WT,293T,−Arg,0.003556,NA,NA,-4.830810156,NA,NA,,,,,,
P12270,TPR,"translocated promoter region, nuclear basket protein",TPR_HUMAN,WT,293T,−Leu,0.009395333,0.001211786,7.00E-04,-3.184100974,0.664044455,0.383386245,,,,,,
P12277,CKB,creatine kinase B,KCRB_HUMAN,GCN2 KO,293T,Rich,0.030006667,0.009660343,0.005577402,0,0,0,,,,,,
P12277,CKB,creatine kinase B,KCRB_HUMAN,GCN2 KO,293T,−Arg,0.01465,NA,NA,-1.318575969,NA,NA,,,,,,
P12277,CKB,creatine kinase B,KCRB_HUMAN,GCN2 KO,293T,−Leu,0.015213333,0.001217224,7.03E-04,-0.923889076,0.590700738,0.34104123,,,,,,
P12277,CKB,creatine kinase B,KCRB_HUMAN,WT,293T,Rich,0.043296667,0.009721817,0.005612894,0,0,0,,,,,,
P12277,CKB,creatine kinase B,KCRB_HUMAN,WT,293T,−Arg,0.02727,NA,NA,-0.685262142,NA,NA,,,,,,
P12277,CKB,creatine kinase B,KCRB_HUMAN,WT,293T,−Leu,0.012867333,0.004307542,0.002486961,-1.788734373,0.623975757,0.360252571,,,,,,
P12814,ACTN1,actinin alpha 1,ACTN1_HUMAN,GCN2 KO,293T,Rich,0.045873333,0.009022607,0.005209204,0,0,0,,,,,,
P12814,ACTN1,actinin alpha 1,ACTN1_HUMAN,GCN2 KO,293T,−Arg,0.006888,0.006409216,0.003700363,-3.202413231,1.274343928,0.73574281,,,,,,
P12814,ACTN1,actinin alpha 1,ACTN1_HUMAN,GCN2 KO,293T,−Leu,0.019873333,0.003958943,0.002285697,-1.210284505,0.298257244,0.1721989,,,,,,
P12814,ACTN1,actinin alpha 1,ACTN1_HUMAN,WT,293T,Rich,0.0633,0.01598244,0.009227466,0,0,0,,,,,,
P12814,ACTN1,actinin alpha 1,ACTN1_HUMAN,WT,293T,−Arg,0.0068285,0.004185365,0.002416422,-3.54997099,0.827465885,0.477737651,,,,,,
P12814,ACTN1,actinin alpha 1,ACTN1_HUMAN,WT,293T,−Leu,0.013548,0.005560688,0.003210465,-2.100881461,1.01925214,0.588465498,,,,,,
P12956,XRCC6,X-ray repair cross complementing 6,XRCC6_HUMAN,GCN2 KO,293T,Rich,0.059106667,0.018132188,0.010468623,0,0,0,,,,,,
P12956,XRCC6,X-ray repair cross complementing 6,XRCC6_HUMAN,GCN2 KO,293T,−Arg,0.014693333,0.001906996,0.001101005,-1.970794831,0.584137331,0.337251846,,,,,,
P12956,XRCC6,X-ray repair cross complementing 6,XRCC6_HUMAN,GCN2 KO,293T,−Leu,0.011697,0.00417053,0.002407856,-2.356730667,0.815082725,0.47058823,,,,,,
P12956,XRCC6,X-ray repair cross complementing 6,XRCC6_HUMAN,WT,293T,Rich,0.07748,0.018339501,0.010588316,0,0,0,,,,,,
P12956,XRCC6,X-ray repair cross complementing 6,XRCC6_HUMAN,WT,293T,−Arg,0.016356667,0.004996722,0.002884859,-2.255101478,0.346901744,0.200283815,,,,,,
P12956,XRCC6,X-ray repair cross complementing 6,XRCC6_HUMAN,WT,293T,−Leu,0.013361667,0.006157565,0.003555072,-2.632836434,1.054650552,0.60890278,,,,,,
P13010,XRCC5,X-ray repair cross complementing 5,XRCC5_HUMAN,GCN2 KO,293T,Rich,0.05283,0.01160972,0.006702875,0,0,0,,,,,,
P13010,XRCC5,X-ray repair cross complementing 5,XRCC5_HUMAN,GCN2 KO,293T,−Arg,0.005299,1.37E-04,7.92E-05,-3.188773305,0.451758993,0.260823176,,,,,,
P13010,XRCC5,X-ray repair cross complementing 5,XRCC5_HUMAN,GCN2 KO,293T,−Leu,0.007955333,0.00176735,0.00102038,-2.730333689,0.121294533,0.070029431,,,,,,
P13010,XRCC5,X-ray repair cross complementing 5,XRCC5_HUMAN,WT,293T,Rich,0.06769,0.016649387,0.009612528,0,0,0,,,,,,
P13010,XRCC5,X-ray repair cross complementing 5,XRCC5_HUMAN,WT,293T,−Arg,0.007219333,0.003667364,0.002117353,-3.33517193,0.457664235,0.26423257,,,,,,
P13010,XRCC5,X-ray repair cross complementing 5,XRCC5_HUMAN,WT,293T,−Leu,0.009018,0.002483178,0.001433663,-2.91101917,0.53777116,0.310482324,,,,,,
P13073,COX4I1,cytochrome c oxidase subunit 4I1,COX41_HUMAN,GCN2 KO,293T,Rich,0.10496,0.017592817,0.010157217,0,0,0,,,,,,
P13073,COX4I1,cytochrome c oxidase subunit 4I1,COX41_HUMAN,GCN2 KO,293T,−Arg,0.06224,NA,NA,-0.571923206,NA,NA,,,,,,
P13073,COX4I1,cytochrome c oxidase subunit 4I1,COX41_HUMAN,GCN2 KO,293T,−Leu,0.006429,NA,NA,-4.190694247,NA,NA,,,,,,
P13073,COX4I1,cytochrome c oxidase subunit 4I1,COX41_HUMAN,WT,293T,Rich,0.1117,NA,NA,0,NA,NA,,,,,,
P13073,COX4I1,cytochrome c oxidase subunit 4I1,COX41_HUMAN,WT,293T,−Arg,0.06269,NA,NA,-0.833321951,NA,NA,,,,,,
P13073,COX4I1,cytochrome c oxidase subunit 4I1,COX41_HUMAN,WT,293T,−Leu,0.04327,NA,NA,-1.36819016,NA,NA,,,,,,
P13489,RNH1,ribonuclease/angiogenin inhibitor 1,RINI_HUMAN,WT,293T,Rich,0.042995,0.0061589,0.003555843,0,0,0,,,,,,
P13489,RNH1,ribonuclease/angiogenin inhibitor 1,RINI_HUMAN,WT,293T,−Leu,0.004829,0.001021062,5.90E-04,-3.163241535,0.099980242,0.05772362,,,,,,
P13639,EEF2,eukaryotic translation elongation factor 2,EF2_HUMAN,GCN2 KO,293T,Rich,0.06907,0.009913027,0.005723289,0,0,0,,,,,,
P13639,EEF2,eukaryotic translation elongation factor 2,EF2_HUMAN,GCN2 KO,293T,−Arg,0.009363333,0.003356048,0.001937615,-2.933664858,0.350317568,0.202255942,,,,,,
P13639,EEF2,eukaryotic translation elongation factor 2,EF2_HUMAN,GCN2 KO,293T,−Leu,0.01292,0.00198053,0.00114346,-2.42073946,0.127476992,0.073598876,,,,,,
P13639,EEF2,eukaryotic translation elongation factor 2,EF2_HUMAN,WT,293T,Rich,0.100656667,0.020707285,0.011955356,0,0,0,,,,,,
P13639,EEF2,eukaryotic translation elongation factor 2,EF2_HUMAN,WT,293T,−Arg,0.008359,0.003254215,0.001878822,-3.642750475,0.292773971,0.169033131,,,,,,
P13639,EEF2,eukaryotic translation elongation factor 2,EF2_HUMAN,WT,293T,−Leu,0.010492333,0.004899602,0.002828786,-3.371741191,0.99926593,0.576926454,,,,,,
P13667,PDIA4,protein disulfide isomerase family A member 4,PDIA4_HUMAN,GCN2 KO,293T,Rich,0.067433333,0.019389364,0.011194454,0,0,0,,,,,,
P13667,PDIA4,protein disulfide isomerase family A member 4,PDIA4_HUMAN,GCN2 KO,293T,−Arg,0.003952,7.35E-05,4.25E-05,-3.839094261,0.222006072,0.128175266,,,,,,
P13667,PDIA4,protein disulfide isomerase family A member 4,PDIA4_HUMAN,GCN2 KO,293T,−Leu,0.019146667,0.003346436,0.001932066,-1.790992844,0.47600443,0.274821286,,,,,,
P13667,PDIA4,protein disulfide isomerase family A member 4,PDIA4_HUMAN,WT,293T,Rich,0.0826,0.018857913,0.010887621,0,0,0,,,,,,
P13667,PDIA4,protein disulfide isomerase family A member 4,PDIA4_HUMAN,WT,293T,−Arg,0.009174667,0.005223198,0.003015615,-3.311034418,0.568489805,0.328217742,,,,,,
P13667,PDIA4,protein disulfide isomerase family A member 4,PDIA4_HUMAN,WT,293T,−Leu,0.0106985,0.005517554,0.003185561,-2.91117094,1.20407266,0.695171675,,,,,,
P13693,TPT1,"tumor protein, translationally-controlled 1",TCTP_HUMAN,GCN2 KO,293T,Rich,0.097975,0.06409923,0.037007708,0,0,0,,,,,,
P13693,TPT1,"tumor protein, translationally-controlled 1",TCTP_HUMAN,GCN2 KO,293T,−Leu,0.019975,0.00907218,0.005237826,-2.199025853,0.342168265,0.19755094,,,,,,
P13693,TPT1,"tumor protein, translationally-controlled 1",TCTP_HUMAN,WT,293T,Rich,0.11182,0.024195066,0.013969028,0,0,0,,,,,,
P13693,TPT1,"tumor protein, translationally-controlled 1",TCTP_HUMAN,WT,293T,−Arg,0.008655333,0.001810697,0.001045406,-3.693215785,0.322759589,0.186345336,,,,,,
P13693,TPT1,"tumor protein, translationally-controlled 1",TCTP_HUMAN,WT,293T,−Leu,0.013686667,0.004678593,0.002701187,-3.064415655,0.219787961,0.126894638,,,,,,
P13797,PLS3,plastin 3,PLST_HUMAN,GCN2 KO,293T,Rich,0.068163333,0.024123162,0.013927514,0,0,0,,,,,,
P13797,PLS3,plastin 3,PLST_HUMAN,GCN2 KO,293T,−Arg,0.007561333,0.003397802,0.001961722,-3.232410632,1.204384186,0.695351534,,,,,,
P13797,PLS3,plastin 3,PLST_HUMAN,GCN2 KO,293T,−Leu,0.012014,0.005067748,0.002925866,-2.522704086,0.157587755,0.090983333,,,,,,
P13797,PLS3,plastin 3,PLST_HUMAN,WT,293T,Rich,0.11191,0.021376653,0.012341816,0,0,0,,,,,,
P13797,PLS3,plastin 3,PLST_HUMAN,WT,293T,−Arg,0.012396333,0.004104376,0.002369662,-3.203762121,0.367377961,0.212105765,,,,,,
P13797,PLS3,plastin 3,PLST_HUMAN,WT,293T,−Leu,0.014063333,0.002613835,0.001509098,-2.990698063,0.518043525,0.299092568,,,,,,
P13804,ETFA,electron transfer flavoprotein subunit alpha,ETFA_HUMAN,GCN2 KO,293T,Rich,0.04685,0.01370254,0.007911165,0,0,0,,,,,,
P13804,ETFA,electron transfer flavoprotein subunit alpha,ETFA_HUMAN,GCN2 KO,293T,−Arg,0.009789333,0.002940082,0.001697457,-2.264096254,0.755251759,0.436044806,,,,,,
P13804,ETFA,electron transfer flavoprotein subunit alpha,ETFA_HUMAN,GCN2 KO,293T,−Leu,0.010111667,0.001604436,9.26E-04,-2.178203464,0.409665218,0.236520324,,,,,,
P13804,ETFA,electron transfer flavoprotein subunit alpha,ETFA_HUMAN,WT,293T,Rich,0.072526667,0.025071429,0.014474996,0,0,0,,,,,,
P13804,ETFA,electron transfer flavoprotein subunit alpha,ETFA_HUMAN,WT,293T,−Arg,0.014923333,0.003628572,0.002094957,-2.244823377,0.291352455,0.168212419,,,,,,
P13804,ETFA,electron transfer flavoprotein subunit alpha,ETFA_HUMAN,WT,293T,−Leu,0.010691333,0.004345995,0.002509161,-2.777250346,1.02891997,0.594047222,,,,,,
P14314,PRKCSH,protein kinase C substrate 80K-H,GLU2B_HUMAN,GCN2 KO,293T,Rich,0.05669,NA,NA,0,NA,NA,,,,,,
P14314,PRKCSH,protein kinase C substrate 80K-H,GLU2B_HUMAN,GCN2 KO,293T,−Leu,0.01925,NA,NA,-1.558235823,NA,NA,,,,,,
P14314,PRKCSH,protein kinase C substrate 80K-H,GLU2B_HUMAN,WT,293T,Rich,0.080825,0.036027091,0.02080025,0,0,0,,,,,,
P14314,PRKCSH,protein kinase C substrate 80K-H,GLU2B_HUMAN,WT,293T,−Arg,0.006535,0.002851055,0.001646057,-3.625206248,0.015129812,0.008735201,,,,,,
P14314,PRKCSH,protein kinase C substrate 80K-H,GLU2B_HUMAN,WT,293T,−Leu,0.0094165,1.52E-04,8.78E-05,-3.02615769,0.689024504,0.397808483,,,,,,
P14618,PKM,pyruvate kinase M1/2,KPYM_HUMAN,GCN2 KO,293T,Rich,0.043406667,0.009465814,0.00546509,0,0,0,,,,,,
P14618,PKM,pyruvate kinase M1/2,KPYM_HUMAN,GCN2 KO,293T,−Arg,0.01014,2.08E-04,1.20E-04,-2.072615008,0.369723209,0.213459794,,,,,,
P14618,PKM,pyruvate kinase M1/2,KPYM_HUMAN,GCN2 KO,293T,−Leu,0.009474667,0.001168206,6.74E-04,-2.17771136,0.498774134,0.28796738,,,,,,
P14618,PKM,pyruvate kinase M1/2,KPYM_HUMAN,WT,293T,Rich,0.054196667,0.014295749,0.008253654,0,0,0,,,,,,
P14618,PKM,pyruvate kinase M1/2,KPYM_HUMAN,WT,293T,−Arg,0.007864,0.002164109,0.001249449,-2.786061264,0.087466216,0.050498643,,,,,,
P14618,PKM,pyruvate kinase M1/2,KPYM_HUMAN,WT,293T,−Leu,0.007282333,0.002594471,0.001497919,-2.934421781,0.727024211,0.419747624,,,,,,
P14625,HSP90B1,heat shock protein 90 beta family member 1,ENPL_HUMAN,GCN2 KO,293T,Rich,0.049813333,0.01730786,0.009992698,0,0,0,,,,,,
P14625,HSP90B1,heat shock protein 90 beta family member 1,ENPL_HUMAN,GCN2 KO,293T,−Arg,0.007014,0.001398657,8.08E-04,-2.755904961,0.447016969,0.258085367,,,,,,
P14625,HSP90B1,heat shock protein 90 beta family member 1,ENPL_HUMAN,GCN2 KO,293T,−Leu,0.031473333,0.005827901,0.00336474,-0.616891259,0.492928504,0.284592404,,,,,,
P14625,HSP90B1,heat shock protein 90 beta family member 1,ENPL_HUMAN,WT,293T,Rich,0.080713333,0.026349113,0.015212667,0,0,0,,,,,,
P14625,HSP90B1,heat shock protein 90 beta family member 1,ENPL_HUMAN,WT,293T,−Arg,0.0050675,0.001888682,0.001090431,-4.277040321,0.37095016,0.214168175,,,,,,
P14625,HSP90B1,heat shock protein 90 beta family member 1,ENPL_HUMAN,WT,293T,−Leu,0.014166667,0.003348572,0.001933299,-2.482019589,0.682569311,0.394081575,,,,,,
P14866,HNRNPL,heterogeneous nuclear ribonucleoprotein L,HNRPL_HUMAN,GCN2 KO,293T,Rich,0.04718,0.025884781,0.014944585,0,0,0,,,,,,
P14866,HNRNPL,heterogeneous nuclear ribonucleoprotein L,HNRPL_HUMAN,GCN2 KO,293T,−Arg,0.009628333,0.005738655,0.003313214,-2.432720574,1.019573879,0.588651254,,,,,,
P14866,HNRNPL,heterogeneous nuclear ribonucleoprotein L,HNRPL_HUMAN,GCN2 KO,293T,−Leu,0.012474,0.004126612,0.002382501,-1.848495006,0.476858786,0.275314548,,,,,,
P14866,HNRNPL,heterogeneous nuclear ribonucleoprotein L,HNRPL_HUMAN,WT,293T,Rich,0.063646667,0.026818772,0.015483825,0,0,0,,,,,,
P14866,HNRNPL,heterogeneous nuclear ribonucleoprotein L,HNRPL_HUMAN,WT,293T,−Arg,0.007833333,0.004784035,0.002762064,-3.160545527,0.581492332,0.335724754,,,,,,
P14866,HNRNPL,heterogeneous nuclear ribonucleoprotein L,HNRPL_HUMAN,WT,293T,−Leu,0.010644,0.004791514,0.002766382,-2.624481895,0.697545499,0.402728081,,,,,,
P14868,DARS1,aspartyl-tRNA synthetase 1,SYDC_HUMAN,GCN2 KO,293T,Rich,0.05553,0.012347,0.007128544,0,0,0,,,,,,
P14868,DARS1,aspartyl-tRNA synthetase 1,SYDC_HUMAN,GCN2 KO,293T,−Arg,0.007573,NA,NA,-3.001094989,NA,NA,,,,,,
P14868,DARS1,aspartyl-tRNA synthetase 1,SYDC_HUMAN,GCN2 KO,293T,−Leu,0.013429,0.004979446,0.002874884,-1.996471936,0.096498003,0.055713148,,,,,,
P14868,DARS1,aspartyl-tRNA synthetase 1,SYDC_HUMAN,WT,293T,Rich,0.08033,0.0140624,0.008118931,0,0,0,,,,,,
P14868,DARS1,aspartyl-tRNA synthetase 1,SYDC_HUMAN,WT,293T,−Arg,0.009305667,0.004192391,0.002420478,-3.197254492,0.565521817,0.326504173,,,,,,
P14868,DARS1,aspartyl-tRNA synthetase 1,SYDC_HUMAN,WT,293T,−Leu,0.015875667,0.006777587,0.003913042,-2.438644988,0.814476272,0.470238095,,,,,,
P15121,AKR1B1,aldo-keto reductase family 1 member B,ALDR_HUMAN,GCN2 KO,293T,Rich,0.042356667,0.014842696,0.008569435,0,0,0,,,,,,
P15121,AKR1B1,aldo-keto reductase family 1 member B,ALDR_HUMAN,GCN2 KO,293T,−Arg,0.02018,0.004110146,0.002372994,-1.020865312,0.709509141,0.409635294,,,,,,
P15121,AKR1B1,aldo-keto reductase family 1 member B,ALDR_HUMAN,GCN2 KO,293T,−Leu,0.0102665,0.003399062,0.00196245,-1.797932315,0.113648747,0.065615135,,,,,,
P15121,AKR1B1,aldo-keto reductase family 1 member B,ALDR_HUMAN,WT,293T,Rich,0.05721,0.012488102,0.007210009,0,0,0,,,,,,
P15121,AKR1B1,aldo-keto reductase family 1 member B,ALDR_HUMAN,WT,293T,−Arg,0.02231,0.005210883,0.003008505,-1.358020949,0.258910838,0.149482242,,,,,,
P15121,AKR1B1,aldo-keto reductase family 1 member B,ALDR_HUMAN,WT,293T,−Leu,0.008939,NA,NA,-2.849771142,NA,NA,,,,,,
P15170,GSPT1,G1 to S phase transition 1,ERF3A_HUMAN,GCN2 KO,293T,Rich,0.070996667,0.007613871,0.004395871,0,0,0,,,,,,
P15170,GSPT1,G1 to S phase transition 1,ERF3A_HUMAN,GCN2 KO,293T,−Arg,0.006481,NA,NA,-3.554366231,NA,NA,,,,,,
P15170,GSPT1,G1 to S phase transition 1,ERF3A_HUMAN,GCN2 KO,293T,−Leu,0.013635,0.003471894,0.002004499,-2.345082477,0.186776843,0.107835661,,,,,,
P15170,GSPT1,G1 to S phase transition 1,ERF3A_HUMAN,WT,293T,Rich,0.102856667,0.011221525,0.006478751,0,0,0,,,,,,
P15170,GSPT1,G1 to S phase transition 1,ERF3A_HUMAN,WT,293T,−Leu,0.015675667,0.008881455,0.005127711,-2.854793581,0.879952388,0.508040748,,,,,,
P15311,EZR,ezrin,EZRI_HUMAN,GCN2 KO,293T,Rich,0.040255,0.016482659,0.009516268,0,0,0,,,,,,
P15311,EZR,ezrin,EZRI_HUMAN,GCN2 KO,293T,−Arg,0.003477,NA,NA,-3.900097516,NA,NA,,,,,,
P15311,EZR,ezrin,EZRI_HUMAN,GCN2 KO,293T,−Leu,0.024365,0.017260477,0.009965341,-0.86961189,0.515141473,0.297417068,,,,,,
P15311,EZR,ezrin,EZRI_HUMAN,WT,293T,Rich,0.068626667,0.013026566,0.007520892,0,0,0,,,,,,
P15311,EZR,ezrin,EZRI_HUMAN,WT,293T,−Arg,0.014913667,0.005147144,0.002971705,-2.248582192,0.357356445,0.20631984,,,,,,
P15311,EZR,ezrin,EZRI_HUMAN,WT,293T,−Leu,0.01781,0.003493107,0.002016747,-2.026841079,0.024701798,0.01426159,,,,,,
P15374,UCHL3,ubiquitin C-terminal hydrolase L3,UCHL3_HUMAN,GCN2 KO,293T,Rich,0.04673,NA,NA,0,NA,NA,,,,,,
P15374,UCHL3,ubiquitin C-terminal hydrolase L3,UCHL3_HUMAN,GCN2 KO,293T,−Leu,0.007066,NA,NA,-2.725383383,NA,NA,,,,,,
P15374,UCHL3,ubiquitin C-terminal hydrolase L3,UCHL3_HUMAN,WT,293T,Rich,0.051715,0.007502403,0.004331514,0,0,0,,,,,,
P15374,UCHL3,ubiquitin C-terminal hydrolase L3,UCHL3_HUMAN,WT,293T,−Arg,0.01006,NA,NA,-2.205805392,NA,NA,,,,,,
P15374,UCHL3,ubiquitin C-terminal hydrolase L3,UCHL3_HUMAN,WT,293T,−Leu,0.0096885,0.003778072,0.002181271,-2.465649363,0.787564797,0.454700748,,,,,,
P15531,NME1,NME/NM23 nucleoside diphosphate kinase 1,NDKA_HUMAN,GCN2 KO,293T,Rich,0.08742,0.020153766,0.011635782,0,0,0,,,,,,
